paperID,paper title,publish years,authors
2183087644,sparse local embeddings for extreme multi label classification,2015-12-07,kush bhatia;himanshu jain;purushottam kar;manik varma;prateek jain
2183157416,non convex statistical optimization for sparse tensor graphical model,2015-12-07,wei sun;zhaoran wang;han liu;guang cheng
2183341477,rethinking the inception architecture for computer vision,2016-06-01,christian szegedy;vincent vanhoucke;sergey ioffe;jonathon shlens;zbigniew wojna
2183951929,a theory of decision making under dynamic context,2015-12-07,michael shvartsman;vaibhav srivastava;jonathan d cohen
2184218725,deep visual analogy making,2015-12-07,scott e reed;yi zhang;yuting zhang;honglak lee
2184274885,the social medium is the message,2010-11-03,victoria groom;vasant srinivasan;clifford nass;robin r murphy;cindy l bethel
2184360182,bidirectional recurrent convolutional networks for multi frame super resolution,2015-12-07,yan huang;wei wang;liang wang
2184540135,where are they looking,2015-12-07,adria recasens;aditya khosla;carl vondrick;antonio torralba
2184723438,infinite factorial dynamical model,2015-12-07,isabel valera;francisco j r ruiz;lennart svensson;fernando perezcruz
2184746314,bandits with unobserved confounders a causal approach,2015-12-07,elias bareinboim;andrew forney;judea pearl
2184957013,learning entity and relation embeddings for knowledge graph completion,2015-01-25,yankai lin;zhiyuan liu;maosong sun;yang liu;xuan zhu
2185231601,robust non negative dictionary learning,2014-07-27,qihe pan;deguang kong;chris h q ding;bin luo
2185528074,learning deep energy models,2011-01-01,jiquan ngiam;zhenghao chen;pang wei koh;andrew y ng
2185706522,data driven web design,2012-06-26,ranjitha kumar;jerry o talton;salman ahmad;scott r klemmer
2185757220,collaborative filtering ensemble,2011-01-01,michael jahrer;andreas toscher
2185758820,deep temporal sigmoid belief networks for sequence modeling,2015-12-07,zhe gan;chunyuan li;ricardo henao;david e carlson;lawrence carin
2185897478,learning frame models using cnn filters,2016-02-12,yang lu;songchun zhu;ying nian wu
2186043506,the return of the gating network combining generative models and discriminative training in natural image priors,2015-12-07,dan rosenbaum;yair weiss
2186447697,backshift learning causal cyclic graphs from unknown shift interventions,2015-12-07,dominik rothenhausler;christina heinze;jonas peters;nicolai meinshausen
2186878252,collaborative filtering with graph information consistency and scalable methods,2015-12-07,nikhil rao;hsiangfu yu;pradeep ravikumar;inderjit s dhillon
2187447858,competitive closeness testing,2011-12-21,jayadev acharya;hirakendu das;ashkan jafarpour;alon orlitsky;shengjun pan
2187890375,backdoors to planning,2014-07-27,martin kronegger;sebastian ordyniak;andreas pfandler
2188090365,model selection by linear programming,2014-09-06,joseph wang;tolga bolukbasi;kirill trapeznikov;venkatesh saligrama
2188226927,staple complementary learners for real time tracking,2016-06-01,luca bertinetto;jack valmadre;stuart golodetz;ondrej miksik;philip h s torr
2188631158,calibrated structured prediction,2015-12-07,volodymyr kuleshov;percy liang
2188666107,human intelligence needs artificial intelligence,2011-01-01,daniel s weld;mausam mausam;peng dai
2188956040,weakly supervised disentangling with recurrent transformations for 3d view synthesis,2015-12-07,jimei yang;scott e reed;minghsuan yang;honglak lee
2189007323,fast global alignment kernels,2011-01-01,marco cuturi
2189069461,generating more specific questions,2011-11-03,xuchen yao
2189498447,an evaluation of the advantages and disadvantages of deterministic database systems,2014-06-01,kun ren;alexander thomson;daniel j abadi
2189508540,locally linear support vector machines,2011-01-01,lubor ladicky;philip h s torr
2190008860,visualizing deep convolutional neural networks using natural pre images,2016-12-01,aravindh mahendran;andrea vedaldi
2193145675,ssd single shot multibox detector,2016-10-08,wei liu;dragomir anguelov;dumitru erhan;christian szegedy;scott e reed;chengyang fu;alexander c berg
2193384753,rank pooling for action recognition,2017-04-01,basura fernando;efstratios gavves;m jose oramas;amir ghodrati;tinne tuytelaars
2193441267,agent planning programs,2016-02-01,giuseppe de giacomo;alfonso gerevini;fabio patrizi;alessandro saetti;sebastian sardina
2193945050,robocup home,2015-12-01,luca iocchi;dirk holz;javier ruizdelsolar;komei sugiura;tijn van der zant
2194690080,neural programmer interpreters,2016-01-01,scott reed;nando de freitas
2195207531,do deep neural networks learn facial action units when doing expression recognition,2015-12-01,pooya khorrami;thomas paine;thomas s huang
2195333727,hvac aware occupancy scheduling,2015-01-25,boon ping lim;menkes van den briel;sylvie thiebaux;scott backhaus;russell bent
2196348858,simplifying regularizing and strengthening sum product network structure learning,2015-09-07,antonio vergari;nicola di mauro;floriana esposito
2196697617,visually indicated sounds,2016-06-01,andrew owens;phillip isola;josh h mcdermott;antonio torralba;edward h adelson;william t freeman
2196824873,a framework for protecting worker location privacy in spatial crowdsourcing,2014-06-01,hien to;gabriel ghinita;cyrus shahabi
2197486956,big data for social good,2014-08-24,nathan eagle
2197590357,a novel neural topic model and its supervised extension,2015-01-25,ziqiang cao;sujian li;yang liu;wenjie li;heng ji
2197766763,from computational thinking to computational making,2015-09-07,jennifer a rode;andrea marshall;anne weibert;konstantin aal;thomas von rekowski;houda el mimouni;akshay sharma;jordan jobs;alexis schleeter;jennifer booker
2197771580,artificial intelligence for artificial artificial intelligence,2011-08-07,peng dai;daniel s weld
2198007625,ml mg multi label learning with missing labels using a mixed graph,2015-12-01,baoyuan wu;siwei lyu;bernard ghanem
2198190323,neural networks with few multiplications,2016-01-01,zhouhan lin;matthieu courbariaux;roland memisevic;yoshua bengio
2198291924,boosting object proposals from pascal to coco,2015-12-01,jordi ponttuset;luc van gool
2198331616,maximin separation probability clustering,2015-01-25,gao huang;jianwen zhang;shiji song;zheng chen
2199534117,multi view subspace clustering,2015-12-01,hongchang gao;feiping nie;xuelong li;heng huang
2199654994,where and why users check in,2014-07-27,yoonsik cho;greg ver steeg;aram galstyan
2200092826,where to buy it matching street clothing photos in online shops,2015-12-01,m hadi kiapour;xufeng han;svetlana lazebnik;alexander c berg;tamara l berg
2200124539,posenet a convolutional network for real time 6 dof camera relocalization,2015-12-01,alex kendall;matthew grimes;roberto cipolla
2200528286,deep learning strong parts for pedestrian detection,2015-12-01,yonglong tian;ping luo;xiaogang wang;xiaoou tang
2200707618,live repetition counting,2015-12-01,ofir levy;lior wolf
2200845428,a wavefront marching method for solving the eikonal equation on cartesian grids,2015-12-01,brais cancela;marcos ortega;manuel g penedo
2201056710,structured indoor modeling,2015-12-01,satoshi ikehata;hang yang;yasutaka furukawa
2201148259,event pattern matching over graph streams,2014-12-01,chunyao song;tingjian ge;cindy x chen;jie wang
2201368473,self occlusions and disocclusions in causal video object segmentation,2015-12-01,yanchao yang;ganesh sundaramoorthi;stefano soatto
2201581102,prioritized experience replay,2016-01-01,tom schaul;john quan;ioannis antonoglou;david silver
2201704585,feasible a feature based sparql benchmark generation framework,2015-10-11,muhammad saleem;qaiser mehmood;axelcyrille ngonga ngomo
2201953686,high quality structure from small motion for rolling shutter cameras,2015-12-01,sunghoon im;hyowon ha;gyeongmin choe;haegon jeon;kyungdon joo;in so kweon
2202109488,autoencoding beyond pixels using a learned similarity metric,2016-06-19,anders boesen lindbo larsen;soren kaae sonderby;hugo larochelle;ole winther
2202689739,improving traffic prediction with tweet semantics,2013-08-03,jingrui he;wei shen;phani divakaruni;laura wynter;rick lawrence
2202989092,feature level domain adaptation,2016-01-01,wouter m kouw;laurens van der maaten;jesse h krijthe;marco loog
2204138719,does the world look different in different languages,2015-12-01,ernest davis
2204233249,unsupervised learning of edges,2016-06-01,yin li;manohar paluri;james m rehg;piotr dollar
2204756796,cauchy graph embedding,2011-01-01,dijun luo;feiping nie;heng huang;chris h q ding
2205172244,massively parallel multiview stereopsis by surface normal diffusion,2015-12-01,silvano galliani;katrin lasinger;konrad schindler
2206172273,structured feature selection,2015-12-01,tian gao;ziheng wang;qiang ji
2207125444,feature learning based deep supervised hashing with pairwise labels,2016-07-09,wujun li;sheng wang;wangcheng kang
2207258529,human pose estimation in videos,2015-12-01,dong zhang;mubarak shah
2207282238,patch group based nonlocal self similarity prior learning for image denoising,2015-12-01,jun xu;lei zhang;wangmeng zuo;david zhang;xiangchu feng
2207534017,a linear generalized camera calibration from three intersecting reference planes,2015-12-01,mai nishimura;shohei nobuhara;takashi matsuyama;shinya shimizu;kensaku fujii
2207913814,manifold spanning graphs,2014-07-27,c j carey;sridhar mahadevan
2208065917,interpolation on the manifold of k component gmms,2015-12-01,hyunwoo kim;nagesh adluru;monami banerjee;baba c vemuri;vikas singh
2209692720,segment graph based image filtering fast structure preserving smoothing,2015-12-01,feihu zhang;longquan dai;shiming xiang;xiaopeng zhang
2210000923,scalable network analysis,2013-12-19,inderjit s dhillon
2210322478,multi label cross modal retrieval,2015-12-01,viresh ranjan;nikhil rasiwasia;c v jawahar
2210904832,ai for herding sheep,2010-10-11,peter i cowling;christian gmeinwieser
2211092169,joint feature selection and subspace learning for cross modal retrieval,2016-10-01,kaiye wang;ran he;liang wang;wei wang;tieniu tan
2211334024,oriented object proposals,2015-12-01,shengfeng he;rynson w h lau
2211456655,learning large scale automatic image colorization,2015-12-01,aditya deshpande;jason rock;david a forsyth
2211996548,minimum barrier salient object detection at 80 fps,2015-12-01,jianming zhang;stan sclaroff;zhe l lin;xiaohui shen;brian l price;radomir mech
2212660284,a kernel two sample test,2012-03-01,arthur gretton;karsten m borgwardt;malte j rasch;bernhard scholkopf;alexander j smola
2212703438,a theoretically grounded application of dropout in recurrent neural networks,2016-01-01,yarin gal;zoubin ghahramani
2213952365,feature learning in deep neural networks studies on speech recognition tasks,2013-01-16,dong yu;michael l seltzer;jinyu li;juiting huang;frank seide
2214124602,hico a benchmark for recognizing human object interactions in images,2015-12-01,yuwei chao;zhan wang;yugeng he;jiaxuan wang;jia deng
2214352687,hierarchical convolutional features for visual tracking,2015-12-01,chao ma;jiabin huang;xiaokang yang;minghsuan yang
2214382562,monte carlo minimax search,2013-08-03,marc lanctot;abdallah saffidine;joel veness;christopher archibald;mark h m winands
2214409633,simultaneous deep transfer across domains and tasks,2015-12-01,eric tzeng;judy hoffman;trevor darrell;kate saenko
2214430394,a projection free method for generalized eigenvalue problem with a nonsmooth regularizer,2015-12-01,seong jae hwang;maxwell d collins;sathya n ravi;vamsi k ithapu;nagesh adluru;sterling c johnson;vikas singh
2214802144,deeply recursive convolutional network for image super resolution,2016-06-01,jiwon kim;jung kwon lee;kyoung mu lee
2214833651,learning to predict saliency on face images,2015-12-01,mai xu;yun ren;zulin wang
2214876188,knn hashing with factorized neighborhood representation,2015-12-01,kun ding;chunlei huo;bin fan;chunhong pan
2214916291,analysis of a random forests model,2012-01-01,gerard biau
2214920451,3d object reconstruction from hand object interactions,2015-12-01,dimitrios tzionas;juergen gall
2215064525,social hierarchical learning,2015-01-25,bradley hayes
2215578878,realtime edge based visual odometry for a monocular camera,2015-12-01,juan jose tarrio;sol pedre
2215871252,semantic component analysis,2015-12-01,calvin murdock;fernando de la torre
2215952313,simpler non parametric methods provide as good or better results to multiple instance learning,2015-12-01,ragav venkatesan;parag shridhar chandakkar;baoxin li
2216025085,semantic annotation of mobility data using social media,2015-05-18,fei wu;zhenhui li;wangchien lee;hongjian wang;zhuojie huang
2216125271,instance aware semantic segmentation via multi task network cascades,2016-06-01,jifeng dai;kaiming he;jian sun
2216178707,big data curation,2014-12-17,renee j miller
2216437871,fast and effective l0 gradient minimization by region fusion,2015-12-01,rang m h nguyen;michael s brown
2218186489,beyond knowledge management knowledge services innovation,2010-07-29,asanee kawtrakul
2219206118,learning sparse metrics one feature at a time,2015-01-01,yuval atzmon;uri shalit;gal chechik
2220378026,contour box rejecting object proposals without explicit closed contours,2015-12-01,cewu lu;shu liu;jiaya jia;chikeung tang
2221899823,hyperspectral super resolution by coupled spectral unmixing,2015-12-01,charis lanaras;emmanuel p baltsavias;konrad schindler
2223785338,paradigms of ai programming in python,2013-07-14,daniel connelly;ashok k goel
2223881431,scalable topical phrase mining from text corpora,2014-11-01,ahmed elkishky;yanglei song;chi wang;clare r voss;jiawei han
2225887246,learning to track online multi object tracking by decision making,2015-12-01,yu xiang;alexandre alahi;silvio savarese
2226178313,sequential score adaptation with extreme value theory for robust railway track inspection,2015-12-01,xavier gibert;vishal m patel;rama chellappa
2226235235,lsq the linked sparql queries dataset,2015-10-11,muhammad saleem;muhammad intizar ali;aidan hogan;qaiser mehmood;axelcyrille ngonga ngomo
2227052561,processing sparql queries over distributed rdf graphs,2016-04-01,peng peng;lei zou;m tamer ozsu;lei chen;dongyan zhao
2227547437,capturing hands in action using discriminative salient points and physics simulation,2016-06-01,dimitrios tzionas;luca ballan;abhilash srikantha;pablo aponte;marc pollefeys;juergen gall
2228605760,hierarchical variational models,2016-06-19,rajesh ranganath;dustin tran;david m blei
2229637417,deep sliding shapes for amodal 3d object detection in rgb d images,2016-06-01,shuran song;jianxiong xiao
2231495490,rolling guidance filter,2014-09-06,qi zhang;xiaoyong shen;li xu;jiaya jia
2232834753,empirical decision model learning,2017-03-01,michele lombardi;michela milano;andrea bartolini
2233116163,quantized convolutional neural networks for mobile devices,2016-06-01,jiaxiang wu;cong leng;yuhang wang;qinghao hu;jian cheng
2233828343,fusion of inertial and visual measurements for rgb d slam on mobile devices,2015-12-01,nicholas brunetto;samuele salti;nicola fioraio;tommaso cavallari;luigi di stefano
2235034809,long term temporal convolutions for action recognition,2018-06-01,gul varol;ivan laptev;cordelia schmid
2235388212,learning to rank for real time high precision hashtag recommendation for streaming news,2016-04-11,bichen shi;georgiana ifrim;neil j hurley
2236332126,evaluating questions in context,2011-11-03,lee becker;martha palmer;sarel van vuuren;wayne h ward
2236490660,exploring the filter bubble,2014-04-07,tien t nguyen;pik mai hui;max harper;loren g terveen;joseph a konstan
2237235759,distributed tree kernels,2012-01-01,fabio massimo zanzotto;lorenzo dellarciprete
2237261560,scalable sketch based image retrieval using color gradient features,2015-12-01,tu bui;john p collomosse
2237537322,the benefit of multitask representation learning,2016-01-01,andreas maurer;massimiliano pontil;bernardino romeraparedes
2237941437,adapted domain specific class means,2015-12-01,gabriela csurka;boris chidlovskii;stephane clinchant
2238728730,topical word embeddings,2015-01-25,yang liu;zhiyuan liu;tatseng chua;maosong sun
2239259578,a framework to adjust dependency measure estimates for chance,2016-06-30,simone romano;nguyen xuan vinh;james bailey;karin verspoor
2240561375,hierarchies in directed networks,2015-11-01,nikolaj tatti
2240857719,influential sustainability on social networks,2015-11-01,chien wei chang;po an yang;ming han lyu;kun ta chuang
2241029974,the social agency problem,2011-11-03,daniel g shapiro
2241188712,moral lineage tracing,2016-06-01,florian jug;evgeny levinkov;corinna blasse;eugene w myers;bjoern andres
2241785942,natural language object retrieval,2016-06-01,ronghang hu;huazhe xu;marcus rohrbach;jiashi feng;kate saenko;trevor darrell
2241814552,online stochastic tensor decomposition for background subtraction in multispectral video sequences,2015-12-01,andrews sobral;sajid javed;soon ki jung;thierry bouwmans;elhadi zahzah
2242218935,accurate image super resolution using very deep convolutional networks,2016-06-01,jiwon kim;jung kwon lee;kyoung mu lee
2242409048,max intensity detecting competitive advertiser communities in sponsored search market,2015-11-01,wenchao yu;ariyam das;justin wood;wei wang;carlo zaniolo;ping luo
2242657351,a genetic algorithm to discover flexible motifs with support,2016-12-01,joan serra;aleksandar matic;josep lluis arcos;alexandros karatzoglou
2243010609,theoretical and empirical criteria for the edited nearest neighbour classifier,2015-11-01,ludmila i kuncheva;mikel galar
2243476066,parallel multi task learning,2015-11-01,yu zhang
2244071340,lovasz hinge for learning submodular losses,2014-01-01,jiaqian yu;matthew b blaschko
2244188037,a scalable distributed graph partitioner,2015-08-01,daniel wyatt margo;margo i seltzer
2244252827,learning with structured sparsity,2011-02-01,junzhou huang;tong zhang;dimitris n metaxas
2244306971,tree preserving embedding,2011-01-01,albert d shieh;tatsunori b hashimoto;edoardo m airoldi
2244405900,trustsvd collaborative filtering with both the explicit and implicit influence of user trust and of item ratings,2015-01-25,guibing guo;jie zhang;neil yorkesmith
2245395559,auxiliary image regularization for deep cnns with noisy labels,2016-01-01,samaneh azadi;jiashi feng;jiashi feng;stefanie jegelka;trevor darrell
2245998324,post classification label refinement using implicit ordering constraint among data instances,2015-11-01,ankush khandelwal;varun mithal;vipin kumar
2247274765,a fast and accurate unconstrained face detector,2016-02-01,shengcai liao;anil k jain;stan z li
2247513039,grounding of textual phrases in images by reconstruction,2016-10-08,anna rohrbach;marcus rohrbach;marcus rohrbach;ronghang hu;trevor darrell;bernt schiele
2247537918,automatic content aware color and tone stylization,2016-06-01,joonyoung lee;kalyan sunkavalli;zhe l lin;xiaohui shen;in so kweon
2248556341,deep multi scale video prediction beyond mean square error,2016-01-01,michael mathieu;michael mathieu;camille couprie;yann lecun;yann lecun
2249542348,possible and certain sql keys,2015-07-01,henning kohler;sebastian link;xiaofang zhou
2250093878,s2rdf rdf querying with sparql on spark,2016-06-01,alexander schatzle;martin przyjacielzablocki;simon skilevic;georg lausen
2250132166,dream distributed rdf engine with adaptive query planner and minimal communication,2015-02-01,mohammad hammoud;dania abed rabbou;reza nouri;seyedmehdireza beheshti;sherif sakr
2250290552,a random walk approach to selectional preferences based on preference ranking and propagation,2013-08-01,zhenhua tian;hengheng xiang;ziqi liu;qinghua zheng
2250302982,mining sentiments from tweets,2012-07-01,akshat bakliwal;piyush arora;senthil madhappan;nikhil kapre;mukesh singh;vasudeva varma
2250351447,generating acrostics via paraphrasing and heuristic search,2014-08-01,benno stein;matthias hagen;christof brautigam
2250362537,measuring prerequisite relations among concepts,2015-09-01,chen liang;zhaohui wu;wenyi huang;c lee giles
2250398400,mining mobility data,2015-05-18,spiros papadimitriou;tina eliassirad
2250436829,online experiments for computational social science,2015-05-18,eytan bakshy;sean j taylor
2250473953,wings writing with intelligent guidance and suggestions,2014-06-01,xianjun dai;yuanchao liu;xiaolong wang;bingquan liu
2250521169,relation classification via convolutional deep neural network,2014-08-01,daojian zeng;kang liu;siwei lai;guangyou zhou;jun zhao
2250539671,glove global vectors for word representation,2014-10-01,jeffrey pennington;richard socher;christopher d manning
2250557235,multimodal sentiment analysis,2012-07-01,rada mihalcea
2250597803,reval a simple and effective machine translation evaluation metric based on recurrent neural networks,2015-09-01,rohit gupta;constantin orasan;josef van genabith
2250635077,representing text for joint embedding of text and knowledge bases,2015-09-01,kristina toutanova;danqi chen;patrick pantel;hoifung poon;pallavi choudhury;michael gamon
2250653239,exploiting debate portals for semi supervised argumentation mining in user generated web discourse,2015-09-01,ivan habernal;iryna gurevych
2250681131,web intelligence and communities,2015-05-18,pierre maret;rajendra akerkar;laurent vercouter
2250739653,long short term memory neural networks for chinese word segmentation,2015-09-01,xinchi chen;xipeng qiu;chenxi zhu;pengfei liu;xuanjing huang
2250748818,a ccg parsing with a supertag factored model,2014-10-01,mike lewis;mark steedman
2250799045,quality estimation for automatic speech recognition,2014-08-01,matteo negri;marco turchi;jose g c de souza;falavigna daniele
2250830134,linggle a web scale linguistic search engine for words in context,2013-08-01,joanne boisson;tinghui kao;jiancheng wu;tzuhis yen;jason s chang
2250861254,a fast and accurate dependency parser using neural networks,2014-10-01,danqi chen;christopher d manning
2250883926,entities sentiment relevance,2014-06-01,zvi benami;ronen feldman;binyamin rosenfeld
2251008987,modeling interestingness with deep neural networks,2014-10-01,jianfeng gao;patrick pantel;michael gamon;xiaodong he;li deng
2251013202,learning to order natural language texts,2013-08-01,jiwei tan;xiaojun wan;jianguo xiao
2251035762,easy victories and uphill battles in coreference resolution,2013-10-01,greg durrett;d klein
2251091211,modeling joint entity and relation extraction with table representation,2014-10-01,makoto miwa;yutaka sasaki
2251091839,decoding running key ciphers,2012-07-01,sravana reddy;kevin knight
2251171153,implicitness of discourse relations,2012-12-01,fatemeh torabi asr;vera demberg
2251192442,lyrics based analysis and classification of music,2014-08-01,michael fell;caroline sporleder
2251246760,an efficient language model using double array structures,2013-10-01,makoto yasuhara;toru tanaka;junya norimatsu;mikio yamamoto
2251251208,lepor a robust evaluation metric for machine translation with augmented factors,2012-12-01,aaron lifeng han;derek f wong;lidia s chao
2251260680,active learning with transfer learning,2012-07-01,chunyong luo;yangsheng ji;xinyu dai;jiajun chen
2251280431,web search queries as a corpus,2011-06-01,marius pasca
2251322122,an enhanced lesk word sense disambiguation algorithm through a distributional semantic model,2014-08-01,pierpaolo basile;annalina caputo;giovanni semeraro
2251411520,experiments in open domain deception detection,2015-09-01,veronica perezrosas;rada mihalcea
2251427843,multi perspective sentence similarity modeling with convolutional neural networks,2015-09-01,hua he;kevin gimpel;jimmy j lin
2251436415,an analysis of errors in graph based keypoint matching and proposed solutions,2014-09-06,toby collins;pablo mesejo;adrien bartoli
2251507550,specializing word embeddings for similarity or relatedness,2015-09-01,douwe kiela;felix hill;stephen clark
2251567929,counterfactual risk minimization,2015-05-18,adith swaminathan;thorsten joachims
2251614820,judging grammaticality with tree substitution grammar derivations,2011-06-01,matt post
2251637041,sentiment analysis on the people s daily,2014-10-01,jiwei li;eduard h hovy
2251648804,semeval 2014 task 4 aspect based sentiment analysis,2014-08-01,maria pontiki;dimitris galanis;john pavlopoulos;harris papageorgiou;ion androutsopoulos;suresh manandhar
2251656952,overcoming the lack of parallel data in sentence compression,2013-10-01,katja filippova;yasemin altun
2251668285,chinese semantic role labeling with bidirectional recurrent neural networks,2015-09-01,zhen wang;tingsong jiang;baobao chang;zhifang sui
2251771443,dependency based word embeddings,2014-06-01,omer levy;yoav goldberg
2251824305,semantic parsing with combinatory categorial grammars,2013-08-01,yoav artzi;nicholas fitzgerald;luke zettlemoyer
2251864938,hashing with graphs,2011-01-01,wei liu;jun wang;sanjiv kumar;shihfu chang
2251900677,open domain targeted sentiment,2013-10-01,margaret mitchell;jacqueline aguilar;theresa wilson;benjamin van durme
2251935656,solving general arithmetic word problems,2015-09-01,subhro roy;dan roth
2251939518,recursive deep models for semantic compositionality over a sentiment treebank,2013-10-01,richard socher;alex perelygin;jean y wu;jason chuang;christopher d manning;andrew y ng;christopher potts
2251939664,biomedical clinical nlp,2014-08-01,ozlem uzuner;meliha yetisgen;amber stubbs
2252007665,reading documents for bayesian online change point detection,2015-09-01,taehoon kim;jaesik choi
2252024663,fine grained opinion mining with recurrent neural networks and word embeddings,2015-09-01,pengfei liu;shafiq r joty;helen m meng
2252199344,proceedings of the 19th acm sigkdd international conference on knowledge discovery and data mining,2013-08-11,rayid ghani;ted e senator;paul s bradley;rajesh parekh;jingrui he;robert l grossman;ramasamy uthurusamy;inderjit s dhillon;yehuda koren
2252227417,phrase based evaluation for machine translation,2012-12-01,liangyou li;zhengxian gong;guodong zhou
2252245646,a generative joint additive sequential model of topics and speech acts in patient doctor communication,2013-10-01,byron c wallace;thomas a trikalinos;m barton laws;ira b wilson;eugene charniak
2252250824,entity linking for tweets,2013-08-01,xiaohua liu;yitong li;haocheng wu;ming zhou;furu wei;yi lu
2252984395,compressive spectral clustering,2016-06-19,nicolas tremblay;gilles puy;remi gribonval;pierre vandergheynst
2253678198,network analysis of university courses,2014-04-07,ahmad slim;jarred kozlick;gregory l heileman;jeff wigdahl;chaouki t abdallah
2253795368,from softmax to sparsemax a sparse model of attention and multi label classification,2016-06-19,andre f t martins;ramon fernandez astudillo
2253986341,unifying distillation and privileged information,2016-01-01,david lopezpaz;leon bottou;bernhard scholkopf;vladimir vapnik;vladimir vapnik
2253991908,deep reinforcement learning in parameterized action space,2016-01-01,matthew j hausknecht;peter stone
2253995343,collaborative denoising auto encoders for top n recommender systems,2016-02-08,yao wu;christopher dubois;alice x zheng;martin ester
2254175738,strongly typed recurrent neural networks,2016-06-19,david balduzzi;muhammad ghifary
2254252455,densecap fully convolutional localization networks for dense captioning,2016-06-01,justin johnson;andrej karpathy;li feifei
2254462240,the fast bilateral solver,2016-01-01,jonathan t barron;ben poole
2254605168,learning from partially annotated sequences,2011-09-05,eraldo r fernandes;ulf brefeld
2255257084,visualizing large scale and high dimensional data,2016-04-11,jian tang;jingzhou liu;ming zhang;qiaozhu mei
2255577267,ask attend and answer exploring question guided spatial attention for visual question answering,2016-10-08,huijuan xu;kate saenko
2255700062,nips 2014 workshop on high energy physics and machine learning,2015-06-01,glen cowan;cecile germain;isabelle guyon;balazs kegl;d rousseau
2255781698,convolutional pose machines,2016-06-01,shihen wei;varun ramakrishna;takeo kanade;yaser sheikh
2255856114,infrastructure support for evaluation as a service,2014-04-07,jimmy j lin;miles efron
2256348663,improved dropout for shallow and deep learning,2016-01-01,zhe li;boqing gong;tianbao yang
2256468674,object co detection,2012-10-07,sid yingze bao;yu xiang;silvio savarese
2256629785,scaling spark in the real world performance and usability,2015-08-01,michael armbrust;tathagata das;aaron davidson;ali ghodsi;andrew or;josh rosen;ion stoica;patrick wendell;reynold s xin;matei zaharia
2256782633,infinite feature selection,2015-12-01,giorgio roffo;simone melzi;marco cristani
2257123346,a convolutional attention network for extreme summarization of source code,2016-01-01,miltiadis allamanis;hao peng;charles a sutton
2257183329,light field reconstruction using shearlet transform,2018-01-01,suren vagharshakyan;robert bregovic;atanas p gotchev
2257884736,mobile app tagging,2016-02-08,ning chen;steven c h hoi;shaohua li;xiaokui xiao
2259631822,single image 3d without a single 3d image,2015-12-01,david f fouhey;wajahat hussain;abhinav gupta;martial hebert
2259643685,generating images with perceptual similarity metrics based on deep networks,2016-01-01,alexey dosovitskiy;thomas brox
2259724869,efficient densest subgraph computation in evolving graphs,2015-05-18,alessandro epasto;silvio lattanzi;mauro sozio
2259801182,a hierarchical deep temporal model for group activity recognition,2016-06-01,mostafa s ibrahim;srikanth muralidharan;zhiwei deng;arash vahdat;greg mori
2260521078,assessing the quality of actions,2014-09-06,hamed pirsiavash;carl vondrick;antonio torralba
2260756217,asynchronous methods for deep reinforcement learning,2016-06-19,volodymyr mnih;adria puigdomenech badia;mehdi mirza;alex graves;tim harley;timothy p lillicrap;david silver;koray kavukcuoglu
2261232712,adaptive normalized risk averting training for deep neural networks,2016-02-12,zhiguang wang;tim oates;james tingho lo
2261252251,deep linear discriminant analysis,2016-01-01,matthias dorfer;rainer kelz;gerhard widmer
2261268509,learning to segments objects candidates,2015-01-01,pedro h o pinheiro;ronan collobert;piotr dollar
2261271299,compact bilinear pooling,2016-06-01,yang gao;oscar beijbom;ning zhang;trevor darrell
2261709454,compressed indexes for string searching in labeled graphs,2015-05-18,paolo ferragina;francesco piccinno;rossano venturini
2261750843,a kernel test of goodness of fit,2016-06-19,kacper p chwialkowski;heiko strathmann;arthur gretton
2262481042,developing a language for spoken programming,2011-08-04,benjamin m gordon
2262817822,session based recommendations with recurrent neural networks,2016-01-01,balazs hidasi;alexandros karatzoglou;linas baltrunas;domonkos tikk
2263386426,learning to assign orientations to feature points,2016-06-01,kwang moo yi;yannick verdie;pascal fua;vincent lepetit
2264437737,a formalization of programs in first order logic with a discrete linear order,2016-06-01,fangzhen lin
2264475115,worker skill estimation in team based tasks,2015-07-01,habibur rahman;saravanan thirumuruganathan;senjuti basu roy;sihem ameryahia;gautam das
2264800663,joint word representation learning using a corpus and a semantic lexicon,2016-02-12,danushka bollegala;alsuhaibani mohammed;takanori maehara;kenichi kawarabayashi
2264834181,modeling progress in ai,2016-03-29,miles brundage
2265030536,a test of relative similarity for model selection in generative models,2016-01-01,wacha bounliphone;wacha bounliphone;eugene belilovsky;eugene belilovsky;matthew b blaschko;ioannis antonoglou;arthur gretton
2265130686,wikipedia tools for google spreadsheets,2016-04-11,thomas steiner
2265846598,recurrent convolutional neural networks for text classification,2015-01-25,siwei lai;liheng xu;kang liu;jun zhao
2266169473,a deep learning approach to unsupervised ensemble learning,2016-06-19,uri shaham;xiuyuan cheng;omer dror;ariel jaffe;boaz nadler;joseph t chang;yuval kluger
2266221055,enriching structured knowledge with open information,2015-05-18,arnab dutta;christian meilicke;heiner stuckenschmidt
2266728343,deep cross modal hashing,2017-07-01,qingyuan jiang;wujun li
2267009405,object discovery soft attributed graph mining,2016-03-01,quanshi zhang;xuan song;xiaowei shao;huijing zhao;ryosuke shibasaki
2267020232,the winograd schema challenge,2011-03-20,hector j levesque
